"Dia","Estació","Nivell absolut (msnm)","Percentatge volum embassat (%)","Volum embassat (hm3)"
"14/01/2026","Embassament de Sau (Vilanova de Sau)","420,63","85,1","141,12"
"14/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"13/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,69","18,0","2,16"
"13/01/2026","Embassament de Riudecanyes","212,28","53,1","2,83"
"13/01/2026","Embassament de Susqueda (Osor)","348,95","94,9","212,27"
"13/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,94","83,1","20,29"
"13/01/2026","Embassament de la Llosa del Cavall (Navès)","800,77","81,7","58,50"
"13/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"13/01/2026","Embassament de Sau (Vilanova de Sau)","420,53","84,8","140,55"
"13/01/2026","Embassament de Darnius Boadella (Darnius)","156,34","85,1","53,85"
"13/01/2026","Embassament de Foix (Castellet i la Gornal)","99,52","82,5","2,78"
"12/01/2026","Embassament de Darnius Boadella (Darnius)","156,34","85,1","53,87"
"12/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,94","83,1","20,29"
"12/01/2026","Embassament de Foix (Castellet i la Gornal)","99,52","82,6","2,78"
"12/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,68","18,0","2,16"
"12/01/2026","Embassament de Riudecanyes","212,26","53,0","2,82"
"12/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"12/01/2026","Embassament de la Llosa del Cavall (Navès)","800,76","81,7","58,47"
"12/01/2026","Embassament de Susqueda (Osor)","349,04","95,2","212,77"
"12/01/2026","Embassament de Sau (Vilanova de Sau)","420,40","84,3","139,86"
"11/01/2026","Embassament de Riudecanyes","212,23","52,9","2,81"
"11/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"11/01/2026","Embassament de Susqueda (Osor)","349,14","95,4","213,30"
"11/01/2026","Embassament de la Llosa del Cavall (Navès)","800,75","81,7","58,44"
"11/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,94","83,1","20,29"
"11/01/2026","Embassament de Darnius Boadella (Darnius)","156,32","85,0","53,78"
"11/01/2026","Embassament de Foix (Castellet i la Gornal)","99,53","82,6","2,79"
"11/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,66","18,0","2,16"
"11/01/2026","Embassament de Sau (Vilanova de Sau)","420,27","83,9","139,13"
"10/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,94","83,1","20,29"
"10/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,65","17,9","2,15"
"10/01/2026","Embassament de Darnius Boadella (Darnius)","156,30","84,8","53,71"
"10/01/2026","Embassament de la Llosa del Cavall (Navès)","800,73","81,6","58,39"
"10/01/2026","Embassament de Sau (Vilanova de Sau)","420,12","83,4","138,34"
"10/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"10/01/2026","Embassament de Susqueda (Osor)","349,23","95,6","213,78"
"10/01/2026","Embassament de Foix (Castellet i la Gornal)","99,53","82,7","2,79"
"10/01/2026","Embassament de Riudecanyes","212,21","52,8","2,81"
"09/01/2026","Embassament de Foix (Castellet i la Gornal)","99,54","82,9","2,79"
"09/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,93","83,1","20,28"
"09/01/2026","Embassament de la Llosa del Cavall (Navès)","800,72","81,6","58,36"
"09/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"09/01/2026","Embassament de Sau (Vilanova de Sau)","419,97","82,9","137,53"
"09/01/2026","Embassament de Darnius Boadella (Darnius)","156,27","84,7","53,61"
"09/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,64","17,9","2,15"
"09/01/2026","Embassament de Riudecanyes","212,19","52,6","2,80"
"09/01/2026","Embassament de Susqueda (Osor)","349,32","95,9","214,30"
"08/01/2026","Embassament de Riudecanyes","212,16","52,5","2,79"
"08/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,62","17,9","2,15"
"08/01/2026","Embassament de Sau (Vilanova de Sau)","419,81","82,4","136,68"
"08/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"08/01/2026","Embassament de Susqueda (Osor)","349,42","96,1","214,85"
"08/01/2026","Embassament de Foix (Castellet i la Gornal)","99,57","83,4","2,81"
"08/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,92","83,0","20,27"
"08/01/2026","Embassament de la Llosa del Cavall (Navès)","800,72","81,6","58,36"
"08/01/2026","Embassament de Darnius Boadella (Darnius)","156,23","84,5","53,50"
"07/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,92","83,0","20,26"
"07/01/2026","Embassament de Susqueda (Osor)","349,54","96,4","215,50"
"07/01/2026","Embassament de Riudecanyes","212,12","52,2","2,78"
"07/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,60","17,8","2,14"
"07/01/2026","Embassament de Foix (Castellet i la Gornal)","99,61","83,9","2,83"
"07/01/2026","Embassament de Darnius Boadella (Darnius)","156,20","84,3","53,39"
"07/01/2026","Embassament de Sau (Vilanova de Sau)","419,65","81,9","135,77"
"07/01/2026","Embassament de la Baells (Cercs)","624,61","83,1","90,32"
"07/01/2026","Embassament de la Llosa del Cavall (Navès)","800,72","81,6","58,36"
"06/01/2026","Embassament de Sau (Vilanova de Sau)","419,46","81,3","134,77"
"06/01/2026","Embassament de Darnius Boadella (Darnius)","156,17","84,2","53,29"
"06/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,91","83,0","20,25"
"06/01/2026","Embassament de Foix (Castellet i la Gornal)","99,64","84,5","2,85"
"06/01/2026","Embassament de Susqueda (Osor)","349,65","96,6","216,07"
"06/01/2026","Embassament de la Baells (Cercs)","624,60","83,0","90,27"
"06/01/2026","Embassament de Riudecanyes","212,06","51,9","2,76"
"06/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,57","17,8","2,13"
"06/01/2026","Embassament de la Llosa del Cavall (Navès)","800,71","81,5","58,35"
"05/01/2026","Embassament de Sau (Vilanova de Sau)","419,24","80,6","133,61"
"05/01/2026","Embassament de Foix (Castellet i la Gornal)","99,67","85,1","2,87"
"05/01/2026","Embassament de Susqueda (Osor)","349,73","96,9","216,55"
"05/01/2026","Embassament de Riudecanyes","211,99","51,5","2,74"
"05/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,89","82,9","20,23"
"05/01/2026","Embassament de la Baells (Cercs)","624,57","83,0","90,19"
"05/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,53","17,7","2,12"
"05/01/2026","Embassament de Darnius Boadella (Darnius)","156,14","84,0","53,18"
"05/01/2026","Embassament de la Llosa del Cavall (Navès)","800,70","81,5","58,33"
"04/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,49","17,6","2,11"
"04/01/2026","Embassament de Susqueda (Osor)","349,83","97,1","217,09"
"04/01/2026","Embassament de Riudecanyes","211,91","51,1","2,72"
"04/01/2026","Embassament de Darnius Boadella (Darnius)","156,10","83,8","53,04"
"04/01/2026","Embassament de la Llosa del Cavall (Navès)","800,70","81,5","58,34"
"04/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,84","82,6","20,16"
"04/01/2026","Embassament de Foix (Castellet i la Gornal)","99,70","85,5","2,88"
"04/01/2026","Embassament de Sau (Vilanova de Sau)","419,00","79,8","132,36"
"04/01/2026","Embassament de la Baells (Cercs)","624,54","82,9","90,08"
"03/01/2026","Embassament de la Baells (Cercs)","624,50","82,8","89,96"
"03/01/2026","Embassament de Sau (Vilanova de Sau)","418,75","79,0","131,03"
"03/01/2026","Embassament de Susqueda (Osor)","349,89","97,2","217,43"
"03/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,44","17,5","2,10"
"03/01/2026","Embassament de Riudecanyes","211,80","50,5","2,69"
"03/01/2026","Embassament de Foix (Castellet i la Gornal)","99,72","85,9","2,90"
"03/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,78","82,3","20,09"
"03/01/2026","Embassament de la Llosa del Cavall (Navès)","800,71","81,5","58,35"
"03/01/2026","Embassament de Darnius Boadella (Darnius)","156,05","83,5","52,87"
"02/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,73","82,0","20,02"
"02/01/2026","Embassament de Susqueda (Osor)","349,98","97,5","217,90"
"02/01/2026","Embassament de Riudecanyes","211,70","49,9","2,66"
"02/01/2026","Embassament de Darnius Boadella (Darnius)","155,98","83,2","52,64"
"02/01/2026","Embassament de la Llosa del Cavall (Navès)","800,72","81,6","58,38"
"02/01/2026","Embassament de la Baells (Cercs)","624,45","82,6","89,81"
"02/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,38","17,4","2,09"
"02/01/2026","Embassament de Foix (Castellet i la Gornal)","99,76","86,5","2,91"
"02/01/2026","Embassament de Sau (Vilanova de Sau)","418,46","78,1","129,53"
"01/01/2026","Embassament de Darnius Boadella (Darnius)","155,90","82,7","52,36"
"01/01/2026","Embassament de Sau (Vilanova de Sau)","418,12","77,1","127,77"
"01/01/2026","Embassament de Riudecanyes","211,57","49,2","2,62"
"01/01/2026","Embassament de Siurana (Cornudella de Montsant)","464,31","17,2","2,07"
"01/01/2026","Embassament de la Baells (Cercs)","624,39","82,4","89,60"
"01/01/2026","Embassament de Foix (Castellet i la Gornal)","99,79","87,1","2,93"
"01/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","526,67","81,7","19,95"
"01/01/2026","Embassament de la Llosa del Cavall (Navès)","800,72","81,6","58,37"
"01/01/2026","Embassament de Susqueda (Osor)","350,08","97,7","218,43"
"31/12/2025","Embassament de la Baells (Cercs)","624,29","82,2","89,31"
"31/12/2025","Embassament de Darnius Boadella (Darnius)","155,79","82,1","52,00"
"31/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,61","81,4","19,87"
"31/12/2025","Embassament de Siurana (Cornudella de Montsant)","464,21","17,0","2,05"
"31/12/2025","Embassament de Susqueda (Osor)","350,15","97,9","218,84"
"31/12/2025","Embassament de Riudecanyes","211,41","48,4","2,57"
"31/12/2025","Embassament de Sau (Vilanova de Sau)","417,69","75,7","125,59"
"31/12/2025","Embassament de Foix (Castellet i la Gornal)","99,82","87,6","2,95"
"31/12/2025","Embassament de la Llosa del Cavall (Navès)","800,71","81,5","58,34"
"30/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,54","81,1","19,79"
"30/12/2025","Embassament de Riudecanyes","211,20","47,3","2,51"
"30/12/2025","Embassament de Susqueda (Osor)","350,23","98,1","219,28"
"30/12/2025","Embassament de la Baells (Cercs)","624,17","81,8","88,90"
"30/12/2025","Embassament de Siurana (Cornudella de Montsant)","464,07","16,7","2,01"
"30/12/2025","Embassament de Sau (Vilanova de Sau)","417,12","74,0","122,75"
"30/12/2025","Embassament de la Llosa del Cavall (Navès)","800,68","81,4","58,28"
"30/12/2025","Embassament de Darnius Boadella (Darnius)","155,63","81,3","51,47"
"30/12/2025","Embassament de Foix (Castellet i la Gornal)","99,86","88,2","2,97"
"29/12/2025","Embassament de Riudecanyes","210,89","45,6","2,42"
"29/12/2025","Embassament de la Llosa del Cavall (Navès)","800,63","81,3","58,17"
"29/12/2025","Embassament de la Baells (Cercs)","623,97","81,2","88,27"
"29/12/2025","Embassament de Darnius Boadella (Darnius)","155,37","80,0","50,62"
"29/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,46","80,7","19,69"
"29/12/2025","Embassament de Sau (Vilanova de Sau)","416,29","71,6","118,68"
"29/12/2025","Embassament de Susqueda (Osor)","350,28","98,2","219,56"
"29/12/2025","Embassament de Foix (Castellet i la Gornal)","99,88","88,7","2,99"
"29/12/2025","Embassament de Siurana (Cornudella de Montsant)","463,84","16,3","1,96"
"28/12/2025","Embassament de la Baells (Cercs)","623,62","80,2","87,20"
"28/12/2025","Embassament de Susqueda (Osor)","350,46","98,6","220,54"
"28/12/2025","Embassament de Foix (Castellet i la Gornal)","99,88","88,6","2,99"
"28/12/2025","Embassament de Siurana (Cornudella de Montsant)","463,34","15,3","1,84"
"28/12/2025","Embassament de Riudecanyes","210,29","42,6","2,27"
"28/12/2025","Embassament de Darnius Boadella (Darnius)","154,85","77,3","48,95"
"28/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,36","80,1","19,56"
"28/12/2025","Embassament de Sau (Vilanova de Sau)","414,73","67,2","111,38"
"28/12/2025","Embassament de la Llosa del Cavall (Navès)","800,53","80,9","57,93"
"27/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,28","13,4","1,61"
"27/12/2025","Embassament de Riudecanyes","209,38","38,4","2,04"
"27/12/2025","Embassament de Susqueda (Osor)","349,84","97,1","217,12"
"27/12/2025","Embassament de Foix (Castellet i la Gornal)","99,58","83,6","2,82"
"27/12/2025","Embassament de Sau (Vilanova de Sau)","410,79","56,8","94,22"
"27/12/2025","Embassament de Darnius Boadella (Darnius)","153,72","71,7","45,41"
"27/12/2025","Embassament de la Baells (Cercs)","623,09","78,7","85,53"
"27/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,27","79,7","19,45"
"27/12/2025","Embassament de la Llosa del Cavall (Navès)","800,31","80,3","57,44"
"26/12/2025","Embassament de Riudecanyes","208,59","35,1","1,87"
"26/12/2025","Embassament de Darnius Boadella (Darnius)","152,26","65,0","41,12"
"26/12/2025","Embassament de la Baells (Cercs)","622,85","78,0","84,81"
"26/12/2025","Embassament de Foix (Castellet i la Gornal)","99,26","78,3","2,64"
"26/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,24","79,6","19,42"
"26/12/2025","Embassament de Susqueda (Osor)","348,29","93,4","208,76"
"26/12/2025","Embassament de Sau (Vilanova de Sau)","406,45","46,5","77,10"
"26/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,08","13,1","1,57"
"26/12/2025","Embassament de la Llosa del Cavall (Navès)","800,16","79,8","57,09"
"25/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,25","79,6","19,43"
"25/12/2025","Embassament de Riudecanyes","208,48","34,7","1,85"
"25/12/2025","Embassament de Sau (Vilanova de Sau)","405,09","43,5","72,10"
"25/12/2025","Embassament de la Baells (Cercs)","622,79","77,8","84,62"
"25/12/2025","Embassament de Foix (Castellet i la Gornal)","99,16","76,6","2,58"
"25/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,05","13,0","1,56"
"25/12/2025","Embassament de la Llosa del Cavall (Navès)","800,13","79,7","57,03"
"25/12/2025","Embassament de Susqueda (Osor)","347,57","91,6","204,87"
"25/12/2025","Embassament de Darnius Boadella (Darnius)","151,39","61,1","38,69"
"24/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,27","79,7","19,45"
"24/12/2025","Embassament de la Baells (Cercs)","622,77","77,8","84,55"
"24/12/2025","Embassament de Riudecanyes","208,45","34,6","1,84"
"24/12/2025","Embassament de la Llosa del Cavall (Navès)","800,15","79,7","57,07"
"24/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,06","13,0","1,57"
"24/12/2025","Embassament de Darnius Boadella (Darnius)","151,30","60,7","38,43"
"24/12/2025","Embassament de Sau (Vilanova de Sau)","404,79","42,8","71,04"
"24/12/2025","Embassament de Foix (Castellet i la Gornal)","99,14","76,3","2,57"
"24/12/2025","Embassament de Susqueda (Osor)","347,61","91,7","205,05"
"23/12/2025","Embassament de Sau (Vilanova de Sau)","404,42","42,0","69,72"
"23/12/2025","Embassament de Foix (Castellet i la Gornal)","99,13","76,3","2,57"
"23/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,06","13,0","1,57"
"23/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,28","79,8","19,47"
"23/12/2025","Embassament de la Llosa del Cavall (Navès)","800,18","79,8","57,13"
"23/12/2025","Embassament de Riudecanyes","208,41","34,5","1,83"
"23/12/2025","Embassament de Darnius Boadella (Darnius)","151,12","59,9","37,95"
"23/12/2025","Embassament de la Baells (Cercs)","622,73","77,7","84,45"
"23/12/2025","Embassament de Susqueda (Osor)","347,64","91,8","205,22"
"22/12/2025","Embassament de Darnius Boadella (Darnius)","150,89","59,0","37,34"
"22/12/2025","Embassament de Susqueda (Osor)","347,67","91,9","205,38"
"22/12/2025","Embassament de la Llosa del Cavall (Navès)","800,19","79,9","57,16"
"22/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,07","13,0","1,57"
"22/12/2025","Embassament de Sau (Vilanova de Sau)","404,13","41,4","68,70"
"22/12/2025","Embassament de la Baells (Cercs)","622,66","77,5","84,24"
"22/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,30","79,8","19,49"
"22/12/2025","Embassament de Riudecanyes","208,38","34,3","1,83"
"22/12/2025","Embassament de Foix (Castellet i la Gornal)","99,13","76,1","2,57"
"21/12/2025","Embassament de la Llosa del Cavall (Navès)","800,21","79,9","57,21"
"21/12/2025","Embassament de Riudecanyes","208,33","34,1","1,82"
"21/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,07","13,0","1,57"
"21/12/2025","Embassament de Darnius Boadella (Darnius)","150,76","58,5","37,00"
"21/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,32","79,9","19,51"
"21/12/2025","Embassament de Susqueda (Osor)","347,71","92,0","205,60"
"21/12/2025","Embassament de Foix (Castellet i la Gornal)","99,10","75,8","2,55"
"21/12/2025","Embassament de Sau (Vilanova de Sau)","403,94","41,1","68,07"
"21/12/2025","Embassament de la Baells (Cercs)","622,65","77,4","84,19"
"20/12/2025","Embassament de Sau (Vilanova de Sau)","403,83","40,8","67,70"
"20/12/2025","Embassament de Susqueda (Osor)","347,78","92,1","205,99"
"20/12/2025","Embassament de Darnius Boadella (Darnius)","150,68","58,1","36,79"
"20/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,38","80,2","19,58"
"20/12/2025","Embassament de la Baells (Cercs)","622,65","77,5","84,20"
"20/12/2025","Embassament de la Llosa del Cavall (Navès)","800,25","80,1","57,31"
"20/12/2025","Embassament de Riudecanyes","208,27","33,9","1,80"
"20/12/2025","Embassament de Foix (Castellet i la Gornal)","99,10","75,7","2,55"
"20/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,06","13,0","1,57"
"19/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,05","13,0","1,56"
"19/12/2025","Embassament de Susqueda (Osor)","347,70","91,9","205,55"
"19/12/2025","Embassament de Foix (Castellet i la Gornal)","99,10","75,6","2,55"
"19/12/2025","Embassament de Riudecanyes","208,19","33,6","1,79"
"19/12/2025","Embassament de Darnius Boadella (Darnius)","150,67","58,1","36,76"
"19/12/2025","Embassament de Sau (Vilanova de Sau)","403,97","41,1","68,16"
"19/12/2025","Embassament de la Baells (Cercs)","622,67","77,5","84,26"
"19/12/2025","Embassament de la Llosa del Cavall (Navès)","800,29","80,2","57,39"
"19/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,44","80,5","19,66"
"18/12/2025","Embassament de Susqueda (Osor)","347,60","91,7","205,02"
"18/12/2025","Embassament de Sau (Vilanova de Sau)","404,15","41,5","68,79"
"18/12/2025","Embassament de Darnius Boadella (Darnius)","150,66","58,0","36,74"
"18/12/2025","Embassament de Riudecanyes","208,11","33,3","1,77"
"18/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,04","13,0","1,56"
"18/12/2025","Embassament de la Baells (Cercs)","622,70","77,6","84,34"
"18/12/2025","Embassament de la Llosa del Cavall (Navès)","800,34","80,3","57,49"
"18/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,50","80,8","19,73"
"18/12/2025","Embassament de Foix (Castellet i la Gornal)","99,09","75,6","2,55"
"17/12/2025","Embassament de la Baells (Cercs)","622,72","77,6","84,41"
"17/12/2025","Embassament de Darnius Boadella (Darnius)","150,64","57,9","36,66"
"17/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,55","81,1","19,80"
"17/12/2025","Embassament de la Llosa del Cavall (Navès)","800,38","80,5","57,58"
"17/12/2025","Embassament de Siurana (Cornudella de Montsant)","462,00","12,9","1,55"
"17/12/2025","Embassament de Sau (Vilanova de Sau)","404,39","42,0","69,63"
"17/12/2025","Embassament de Susqueda (Osor)","347,46","91,4","204,26"
"17/12/2025","Embassament de Foix (Castellet i la Gornal)","99,08","75,5","2,54"
"17/12/2025","Embassament de Riudecanyes","207,97","32,8","1,74"
"16/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,93","12,8","1,54"
"16/12/2025","Embassament de Riudecanyes","207,71","31,8","1,69"
"16/12/2025","Embassament de Foix (Castellet i la Gornal)","99,04","74,8","2,52"
"16/12/2025","Embassament de Susqueda (Osor)","347,30","91,0","203,45"
"16/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,61","81,4","19,87"
"16/12/2025","Embassament de la Baells (Cercs)","622,73","77,7","84,44"
"16/12/2025","Embassament de Sau (Vilanova de Sau)","404,60","42,4","70,37"
"16/12/2025","Embassament de Darnius Boadella (Darnius)","150,60","57,7","36,53"
"16/12/2025","Embassament de la Llosa del Cavall (Navès)","800,41","80,6","57,67"
"15/12/2025","Embassament de Susqueda (Osor)","347,12","90,6","202,48"
"15/12/2025","Embassament de Foix (Castellet i la Gornal)","99,01","74,3","2,50"
"15/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,65","81,6","19,92"
"15/12/2025","Embassament de Sau (Vilanova de Sau)","404,72","42,7","70,78"
"15/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,78","12,6","1,51"
"15/12/2025","Embassament de la Baells (Cercs)","622,74","77,7","84,46"
"15/12/2025","Embassament de Riudecanyes","207,32","30,4","1,62"
"15/12/2025","Embassament de la Llosa del Cavall (Navès)","800,46","80,7","57,78"
"15/12/2025","Embassament de Darnius Boadella (Darnius)","150,48","57,3","36,25"
"14/12/2025","Embassament de Darnius Boadella (Darnius)","150,39","56,9","36,03"
"14/12/2025","Embassament de Sau (Vilanova de Sau)","404,91","43,1","71,44"
"14/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,67","81,7","19,95"
"14/12/2025","Embassament de la Llosa del Cavall (Navès)","800,53","81,0","57,93"
"14/12/2025","Embassament de Susqueda (Osor)","346,96","90,2","201,64"
"14/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,69","12,4","1,49"
"14/12/2025","Embassament de Riudecanyes","207,19","29,9","1,59"
"14/12/2025","Embassament de la Baells (Cercs)","622,78","77,8","84,58"
"14/12/2025","Embassament de Foix (Castellet i la Gornal)","99,00","74,1","2,50"
"13/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,70","81,9","19,98"
"13/12/2025","Embassament de Susqueda (Osor)","346,95","90,2","201,59"
"13/12/2025","Embassament de Riudecanyes","207,19","29,9","1,59"
"13/12/2025","Embassament de Foix (Castellet i la Gornal)","99,00","74,1","2,50"
"13/12/2025","Embassament de Sau (Vilanova de Sau)","404,97","43,2","71,67"
"13/12/2025","Embassament de Darnius Boadella (Darnius)","150,40","57,0","36,05"
"13/12/2025","Embassament de la Baells (Cercs)","622,83","78,0","84,74"
"13/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,70","12,4","1,49"
"13/12/2025","Embassament de la Llosa del Cavall (Navès)","800,61","81,2","58,11"
"12/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,72","12,5","1,50"
"12/12/2025","Embassament de la Llosa del Cavall (Navès)","800,68","81,4","58,28"
"12/12/2025","Embassament de la Baells (Cercs)","622,89","78,1","84,91"
"12/12/2025","Embassament de Sau (Vilanova de Sau)","405,31","44,0","72,88"
"12/12/2025","Embassament de Susqueda (Osor)","346,75","89,7","200,53"
"12/12/2025","Embassament de Foix (Castellet i la Gornal)","99,00","74,1","2,50"
"12/12/2025","Embassament de Riudecanyes","207,19","29,9","1,59"
"12/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,73","82,0","20,02"
"12/12/2025","Embassament de Darnius Boadella (Darnius)","150,41","57,0","36,07"
"11/12/2025","Embassament de Darnius Boadella (Darnius)","150,43","57,1","36,13"
"11/12/2025","Embassament de Foix (Castellet i la Gornal)","99,00","74,2","2,50"
"11/12/2025","Embassament de Susqueda (Osor)","346,54","89,2","199,45"
"11/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,74","12,5","1,50"
"11/12/2025","Embassament de Sau (Vilanova de Sau)","405,67","44,7","74,19"
"11/12/2025","Embassament de la Llosa del Cavall (Navès)","800,76","81,7","58,46"
"11/12/2025","Embassament de Riudecanyes","207,20","30,0","1,59"
"11/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,75","82,1","20,05"
"11/12/2025","Embassament de la Baells (Cercs)","622,94","78,3","85,08"
"10/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,75","12,5","1,50"
"10/12/2025","Embassament de la Baells (Cercs)","622,99","78,4","85,24"
"10/12/2025","Embassament de Darnius Boadella (Darnius)","150,43","57,1","36,13"
"10/12/2025","Embassament de la Llosa del Cavall (Navès)","800,83","81,9","58,63"
"10/12/2025","Embassament de Sau (Vilanova de Sau)","406,09","45,7","75,74"
"10/12/2025","Embassament de Susqueda (Osor)","346,28","88,6","198,09"
"10/12/2025","Embassament de Foix (Castellet i la Gornal)","99,03","74,6","2,51"
"10/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,78","82,3","20,08"
"10/12/2025","Embassament de Riudecanyes","207,22","30,0","1,60"
"09/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,81","82,4","20,12"
"09/12/2025","Embassament de la Baells (Cercs)","623,05","78,6","85,40"
"09/12/2025","Embassament de Foix (Castellet i la Gornal)","99,05","75,0","2,53"
"09/12/2025","Embassament de Sau (Vilanova de Sau)","406,54","46,7","77,38"
"09/12/2025","Embassament de la Llosa del Cavall (Navès)","800,91","82,2","58,81"
"09/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,77","12,5","1,51"
"09/12/2025","Embassament de Riudecanyes","207,24","30,1","1,60"
"09/12/2025","Embassament de Darnius Boadella (Darnius)","150,44","57,1","36,15"
"09/12/2025","Embassament de Susqueda (Osor)","346,03","88,0","196,79"
"08/12/2025","Embassament de la Baells (Cercs)","623,10","78,7","85,57"
"08/12/2025","Embassament de Foix (Castellet i la Gornal)","99,07","75,2","2,53"
"08/12/2025","Embassament de Sau (Vilanova de Sau)","406,62","46,8","77,67"
"08/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,78","12,6","1,51"
"08/12/2025","Embassament de Darnius Boadella (Darnius)","150,44","57,1","36,16"
"08/12/2025","Embassament de Riudecanyes","207,26","30,2","1,61"
"08/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,84","82,6","20,15"
"08/12/2025","Embassament de la Llosa del Cavall (Navès)","800,99","82,4","58,98"
"08/12/2025","Embassament de Susqueda (Osor)","346,02","88,0","196,72"
"07/12/2025","Embassament de Sant Ponç (Clariana de Cardener)","526,86","82,7","20,19"
"07/12/2025","Embassament de la Llosa del Cavall (Navès)","801,06","82,7","59,15"
"07/12/2025","Embassament de Susqueda (Osor)","346,00","88,0","196,65"
"07/12/2025","Embassament de Sau (Vilanova de Sau)","406,69","47,0","77,93"
"07/12/2025","Embassament de Foix (Castellet i la Gornal)","99,07","75,3","2,54"
"07/12/2025","Embassament de la Baells (Cercs)","623,15","78,9","85,73"
"07/12/2025","Embassament de Darnius Boadella (Darnius)","150,46","57,2","36,22"
"07/12/2025","Embassament de Siurana (Cornudella de Montsant)","461,80","12,6","1,51"
"07/12/2025","Embassament de Riudecanyes","207,29","30,3","1,61"
"06/12/2025","Embassament de Sau (Vilanova de Sau)","406,64","46,9","77,75"
"06/12/2025","Embassament de la Llosa del Cavall (Navès)","801,14","82,9","59,34"
